id;nomexamen;date_creation;date_modification
1;Human;2020-04-04;2020-04-04
2;parse Nevada;2020-04-04;2020-04-04
3;auxiliary withdrawal lavender;2020-04-03;2020-04-04
4;Sleek Concrete Bike black;2020-04-04;2020-04-03
5;Games system engine;2020-04-04;2020-04-04
6;Representative open-source Syrian Arab Republic;2020-04-03;2020-04-04
7;Cross-platform;2020-04-04;2020-04-04
8;Equatorial Guinea Money Market Account;2020-04-04;2020-04-04
9;Planner Division Georgia;2020-04-04;2020-04-04
10;Oregon scalable;2020-04-04;2020-04-04
