id;libmatiere;noteelimin;coefficient;date_creation;date_modification
1;Checking Account responsive;97588;94282;2020-04-03;2020-04-04
2;interactive;90590;61389;2020-04-04;2020-04-04
3;quantifying Awesome;35514;48267;2020-04-04;2020-04-04
4;Oklahoma Small Metal Shoes Personal Loan Account;50129;6952;2020-04-04;2020-04-04
5;Consultant;89086;60113;2020-04-04;2020-04-04
6;exploit card;80021;52174;2020-04-04;2020-04-04
7;online Granite Balanced;2650;37060;2020-04-04;2020-04-04
8;Usability Legacy;77669;76335;2020-04-04;2020-04-04
9;Liaison;35764;28934;2020-04-04;2020-04-04
10;Auto Loan Account invoice solid state;13917;32698;2020-04-04;2020-04-03
