id;plage;typecopie;nombrecopie;date_creation;date_modification
1;systemic;internet solution;8720;2020-04-03;2020-04-04
2;productivity North Dakota;synthesize;48387;2020-04-04;2020-04-04
3;Gorgeous Metal Fish;Cotton Towels Quality-focused;26490;2020-04-04;2020-04-04
4;Computer;generate Investment Account;4381;2020-04-04;2020-04-04
5;Licensed Granite Keyboard Borders quantifying;deposit upward-trending;71553;2020-04-04;2020-04-03
6;strategy Outdoors;purple infrastructures Sleek Metal Keyboard;64219;2020-04-03;2020-04-04
7;Tasty Forward;Granite;47386;2020-04-04;2020-04-04
8;Bahamas systems;magenta revolutionary;73913;2020-04-03;2020-04-04
9;program application monitor;Borders Inlet;56440;2020-04-03;2020-04-04
10;Indiana;transition transmitting Texas;7401;2020-04-04;2020-04-03
