id;numsalle;nomsalle;date_creation;date_modification
1;84078;throughput zero tolerance hardware;2020-04-04;2020-04-04
2;70794;Frozen;2020-04-04;2020-04-04
3;88306;Soap;2020-04-04;2020-04-04
4;38393;hacking Cheese Tuna;2020-04-04;2020-04-04
5;37770;Planner systematic Graphical User Interface;2020-04-04;2020-04-04
6;16154;Program;2020-04-04;2020-04-04
7;53068;solid state Open-architected Gorgeous;2020-04-04;2020-04-03
8;68295;withdrawal core;2020-04-04;2020-04-03
9;5940;synergies Louisiana;2020-04-04;2020-04-03
10;71994;Granite orange Total;2020-04-03;2020-04-04
